Starting Nmap 7.94SVN ( https://nmap.org ) at 2024-09-22 14:21 EDT
Nmap scan report for 115.243.113.46
Host is up (0.29s latency).

PORT      STATE    SERVICE    VERSION
1914/tcp  open     ftp        Microsoft ftpd
1935/tcp  open     ftp        Microsoft ftpd
1947/tcp  open     ftp        Microsoft ftpd
1971/tcp  open     ftp        Microsoft ftpd
1972/tcp  open     ftp        Microsoft ftpd
1974/tcp  open     ftp        Microsoft ftpd
1984/tcp  open     ftp        Microsoft ftpd
1998/tcp  open     ftp        Microsoft ftpd
1999/tcp  open     ftp        Microsoft ftpd
2000/tcp  open     ftp        Microsoft ftpd
2001/tcp  open     ftp        Microsoft ftpd
2002/tcp  open     ftp        Microsoft ftpd
2003/tcp  open     ftp        Microsoft ftpd
2004/tcp  open     ftp        Microsoft ftpd
2005/tcp  open     ftp        Microsoft ftpd
2006/tcp  open     ftp        Microsoft ftpd
2007/tcp  open     ftp        Microsoft ftpd
2008/tcp  open     ftp        Microsoft ftpd
2009/tcp  open     ftp        Microsoft ftpd
2010/tcp  open     ftp        Microsoft ftpd
2013/tcp  open     ftp        Microsoft ftpd
2020/tcp  open     ftp        Microsoft ftpd
2021/tcp  open     ftp        Microsoft ftpd
2022/tcp  open     ftp        Microsoft ftpd
2030/tcp  open     ftp        Microsoft ftpd
2033/tcp  open     ftp        Microsoft ftpd
2034/tcp  open     ftp        Microsoft ftpd
2035/tcp  open     ftp        Microsoft ftpd
2038/tcp  open     ftp        Microsoft ftpd
2040/tcp  open     ftp        Microsoft ftpd
2041/tcp  open     ftp        Microsoft ftpd
2042/tcp  open     ftp        Microsoft ftpd
2043/tcp  open     ftp        Microsoft ftpd
2045/tcp  open     ftp        Microsoft ftpd
2046/tcp  open     ftp        Microsoft ftpd
2047/tcp  open     ftp        Microsoft ftpd
2048/tcp  open     ftp        Microsoft ftpd
2049/tcp  open     ftp        Microsoft ftpd
2065/tcp  open     ftp        Microsoft ftpd
2068/tcp  open     ftp        Microsoft ftpd
2099/tcp  open     ftp        Microsoft ftpd
2100/tcp  open     ftp        Microsoft ftpd
2103/tcp  open     ftp        Microsoft ftpd
2105/tcp  open     ftp        Microsoft ftpd
2106/tcp  open     ftp        Microsoft ftpd
2107/tcp  open     ftp        Microsoft ftpd
2111/tcp  open     ftp        Microsoft ftpd
2119/tcp  open     ftp        Microsoft ftpd
2121/tcp  open     ftp        Microsoft ftpd
2126/tcp  open     ftp        Microsoft ftpd
2135/tcp  open     ftp        Microsoft ftpd
2144/tcp  open     ftp        Microsoft ftpd
2160/tcp  open     ftp        Microsoft ftpd
2161/tcp  open     ftp        Microsoft ftpd
2170/tcp  open     ftp        Microsoft ftpd
2179/tcp  open     ftp        Microsoft ftpd
2190/tcp  open     ftp        Microsoft ftpd
2191/tcp  open     ftp        Microsoft ftpd
2196/tcp  open     ftp        Microsoft ftpd
2200/tcp  open     ftp        Microsoft ftpd
2222/tcp  open     ftp        Microsoft ftpd
2251/tcp  open     ftp        Microsoft ftpd
2260/tcp  open     ftp        Microsoft ftpd
2288/tcp  open     ftp        Microsoft ftpd
2301/tcp  open     ftp        Microsoft ftpd
2323/tcp  open     ftp        Microsoft ftpd
2366/tcp  open     ftp        Microsoft ftpd
2381/tcp  open     ftp        Microsoft ftpd
2382/tcp  open     ftp        Microsoft ftpd
2383/tcp  open     ftp        Microsoft ftpd
2393/tcp  open     ftp        Microsoft ftpd
2394/tcp  open     ftp        Microsoft ftpd
2399/tcp  open     ftp        Microsoft ftpd
2401/tcp  open     ftp        Microsoft ftpd
2492/tcp  open     ftp        Microsoft ftpd
2500/tcp  open     ftp        Microsoft ftpd
2522/tcp  open     ftp        Microsoft ftpd
2525/tcp  open     ftp        Microsoft ftpd
2557/tcp  open     ftp        Microsoft ftpd
2601/tcp  open     ftp        Microsoft ftpd
2602/tcp  open     ftp        Microsoft ftpd
2604/tcp  open     ftp        Microsoft ftpd
2605/tcp  open     ftp        Microsoft ftpd
2607/tcp  open     ftp        Microsoft ftpd
2608/tcp  open     ftp        Microsoft ftpd
2638/tcp  open     ftp        Microsoft ftpd
2701/tcp  open     ftp        Microsoft ftpd
2702/tcp  open     ftp        Microsoft ftpd
2710/tcp  open     ftp        Microsoft ftpd
2717/tcp  open     ftp        Microsoft ftpd
2718/tcp  open     ftp        Microsoft ftpd
2725/tcp  open     ftp        Microsoft ftpd
2800/tcp  open     ftp        Microsoft ftpd
2809/tcp  open     ftp        Microsoft ftpd
2811/tcp  open     ftp        Microsoft ftpd
2869/tcp  open     ftp        Microsoft ftpd
2875/tcp  open     ftp        Microsoft ftpd
2909/tcp  open     ftp        Microsoft ftpd
2910/tcp  open     ftp        Microsoft ftpd
2920/tcp  open     ftp        Microsoft ftpd
2967/tcp  open     ftp        Microsoft ftpd
2968/tcp  open     ftp        Microsoft ftpd
2998/tcp  open     ftp        Microsoft ftpd
3000/tcp  open     ftp        Microsoft ftpd
3001/tcp  open     ftp        Microsoft ftpd
3003/tcp  open     ftp        Microsoft ftpd
3005/tcp  open     ftp        Microsoft ftpd
3006/tcp  open     ftp        Microsoft ftpd
3007/tcp  open     ftp        Microsoft ftpd
3011/tcp  open     ftp        Microsoft ftpd
3013/tcp  open     ftp        Microsoft ftpd
3017/tcp  open     ftp        Microsoft ftpd
3030/tcp  open     ftp        Microsoft ftpd
3031/tcp  open     ftp        Microsoft ftpd
3052/tcp  open     ftp        Microsoft ftpd
3071/tcp  open     ftp        Microsoft ftpd
3077/tcp  open     ftp        Microsoft ftpd
3128/tcp  open     ftp        Microsoft ftpd
3168/tcp  open     ftp        Microsoft ftpd
3211/tcp  open     ftp        Microsoft ftpd
3221/tcp  open     ftp        Microsoft ftpd
3260/tcp  open     ftp        Microsoft ftpd
3261/tcp  open     ftp        Microsoft ftpd
3268/tcp  open     ftp        Microsoft ftpd
3269/tcp  open     ftp        Microsoft ftpd
3283/tcp  open     ftp        Microsoft ftpd
3300/tcp  open     ftp        Microsoft ftpd
3301/tcp  open     ftp        Microsoft ftpd
3306/tcp  open     ftp        Microsoft ftpd
3322/tcp  open     ftp        Microsoft ftpd
3323/tcp  open     ftp        Microsoft ftpd
3324/tcp  open     ftp        Microsoft ftpd
3325/tcp  open     ftp        Microsoft ftpd
3333/tcp  open     ftp        Microsoft ftpd
3351/tcp  open     ftp        Microsoft ftpd
3367/tcp  open     ftp        Microsoft ftpd
3369/tcp  open     ftp        Microsoft ftpd
3370/tcp  open     ftp        Microsoft ftpd
3371/tcp  open     ftp        Microsoft ftpd
3372/tcp  open     ftp        Microsoft ftpd
3389/tcp  open     ftp        Microsoft ftpd
3390/tcp  open     ftp        Microsoft ftpd
3404/tcp  open     ftp        Microsoft ftpd
3476/tcp  open     ftp        Microsoft ftpd
3493/tcp  open     ftp        Microsoft ftpd
3517/tcp  open     ftp        Microsoft ftpd
3527/tcp  open     ftp        Microsoft ftpd
3546/tcp  open     ftp        Microsoft ftpd
3551/tcp  open     ftp        Microsoft ftpd
3580/tcp  open     ftp        Microsoft ftpd
3659/tcp  open     ftp        Microsoft ftpd
3689/tcp  open     ftp        Microsoft ftpd
3690/tcp  open     ftp        Microsoft ftpd
3703/tcp  open     ftp        Microsoft ftpd
3737/tcp  open     ftp        Microsoft ftpd
3766/tcp  open     ftp        Microsoft ftpd
3784/tcp  open     ftp        Microsoft ftpd
3800/tcp  open     ftp        Microsoft ftpd
3801/tcp  open     ftp        Microsoft ftpd
3809/tcp  open     ftp        Microsoft ftpd
3814/tcp  open     ftp        Microsoft ftpd
3826/tcp  open     ftp        Microsoft ftpd
3827/tcp  open     ftp        Microsoft ftpd
3828/tcp  open     ftp        Microsoft ftpd
3851/tcp  open     ftp        Microsoft ftpd
3869/tcp  open     ftp        Microsoft ftpd
3871/tcp  open     ftp        Microsoft ftpd
3878/tcp  open     ftp        Microsoft ftpd
3880/tcp  open     ftp        Microsoft ftpd
3889/tcp  open     ftp        Microsoft ftpd
3905/tcp  open     ftp        Microsoft ftpd
3914/tcp  open     ftp        Microsoft ftpd
3918/tcp  open     ftp        Microsoft ftpd
3920/tcp  open     ftp        Microsoft ftpd
3945/tcp  open     ftp        Microsoft ftpd
3971/tcp  open     ftp        Microsoft ftpd
3986/tcp  open     ftp        Microsoft ftpd
3995/tcp  open     ftp        Microsoft ftpd
3998/tcp  open     ftp        Microsoft ftpd
4000/tcp  open     ftp        Microsoft ftpd
4001/tcp  open     ftp        Microsoft ftpd
4002/tcp  open     ftp        Microsoft ftpd
4003/tcp  open     ftp        Microsoft ftpd
4004/tcp  open     ftp        Microsoft ftpd
4005/tcp  open     ftp        Microsoft ftpd
4006/tcp  open     ftp        Microsoft ftpd
4045/tcp  open     ftp        Microsoft ftpd
4111/tcp  open     ftp        Microsoft ftpd
4125/tcp  open     ftp        Microsoft ftpd
4126/tcp  open     ftp        Microsoft ftpd
4129/tcp  open     ftp        Microsoft ftpd
4224/tcp  open     ftp        Microsoft ftpd
4242/tcp  open     ftp        Microsoft ftpd
4279/tcp  open     ftp        Microsoft ftpd
4321/tcp  open     ftp        Microsoft ftpd
4343/tcp  open     ftp        Microsoft ftpd
4443/tcp  open     ftp        Microsoft ftpd
4444/tcp  filtered krb524
4445/tcp  open     ftp        Microsoft ftpd
4446/tcp  open     ftp        Microsoft ftpd
4449/tcp  open     ftp        Microsoft ftpd
